ir_name,factory_name,factory_type,subscription_id,ir_type,ir_subtype,state,node_count,total_cores,total_memory_gb,activity_runs,diu_hours,data_volume_gb,estimated_cost,subscription_name
stuartADFSQLlink,stuart-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,SelfHosted,SelfHosted,,1,0,4.1,0,0.0,0.0,0.0,field-eng
integrationRuntime1,fe-shared-ssa-latam-adf-001,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,SelfHosted,SelfHosted,,0,0,0.0,0,0.0,0.0,0.0,field-eng
integrationRuntime-SSC,ssc-adf-priv,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Managed,Azure,,0,0,0.0,0,0.0,0.0,0.0,field-eng
SAPHANADbrxintegrationRuntime,SAP-HANA-DBRX-ADF2,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,SelfHosted,SelfHosted,,0,0,0.0,0,0.0,0.0,0.0,field-eng
integrationRuntime1,fieldeng-migrations,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Managed,Azure,,0,0,0.0,0,0.0,0.0,0.0,field-eng
profilerTestAirflowRuntime1,fieldeng-migrations,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Unknown,Unknown,Started,0,0,0.0,0,0.0,0.0,0.0,field-eng
AutoResolveIntegrationRuntime,jl-adf-test,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Managed,Azure,,0,0,0.0,0,0.0,0.0,0.0,field-eng
integrationRuntime1,ganeshrj-df-demo,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,SelfHosted,SelfHosted,,1,0,12.7,0,0.0,0.0,0.0,field-eng
integrationRuntime4,ganeshrj-df-demo,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,SelfHosted,SelfHosted,,0,0,0.0,0,0.0,0.0,0.0,field-eng
integrationRuntime2,ganeshrj-df-demo,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,SelfHosted,SelfHosted,,0,0,0.0,0,0.0,0.0,0.0,field-eng
integrationRuntime3,ganeshrj-df-demo,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Managed,Azure,,0,0,0.0,0,0.0,0.0,0.0,field-eng
IR-for-pl,ganeshrj-df-demo,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Managed,Azure,,0,0,0.0,0,0.0,0.0,0.0,field-eng
eastUS,adf-jovi-test,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Managed,Azure,,0,0,0.0,0,0.0,0.0,0.0,field-eng
ADBIntRuntime-SH-PL,ganeshrj-df-demo,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Managed,Azure,,0,0,0.0,0,0.0,0.0,0.0,field-eng
integrationRuntime1,adf-alexs-test,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Managed,Azure,,0,0,0.0,0,0.0,0.0,0.0,field-eng
integrationRuntime2,adf-alexs-test,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,SelfHosted,SelfHosted,,0,0,0.0,0,0.0,0.0,0.0,field-eng
integrationRuntime3,adf-alexs-test,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Managed,Azure,,0,0,0.0,0,0.0,0.0,0.0,field-eng
SelfHosted-IR,test-sandesh,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,SelfHosted,SelfHosted,,0,0,0.0,0,0.0,0.0,0.0,field-eng
ire-1,fe-cis-imrans-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,SelfHosted,SelfHosted,,1,0,3.8,0,0.0,0.0,0.0,field-eng
AutoResolveIntegrationRuntime,ppai-azure-df,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Managed,Azure,,0,0,0.0,0,0.0,0.0,0.0,field-eng
Airflowivylu,ivylu-demo-airflow,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Unknown,Unknown,Started,0,0,0.0,0,0.0,0.0,0.0,field-eng
AutoResolveIntegrationRuntime,ivylu-demo-airflow,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Managed,Azure,,0,0,0.0,0,0.0,0.0,0.0,field-eng
integrationRuntime1,scott-black-data-factory,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,SelfHosted,SelfHosted,,0,0,0.0,0,0.0,0.0,0.0,field-eng
AutoResolveIntegrationRuntime,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Managed,Azure,,0,0,0.0,0,0.0,0.0,0.0,field-eng
integrationRuntime1,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,SelfHosted,SelfHosted,,1,0,28.3,0,0.0,0.0,0.0,field-eng
integrationRuntime2,laf-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,SelfHosted,SelfHosted,,1,0,0.5,0,0.0,0.0,0.0,field-eng
nshetty-performance-ir,nshetty-test,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,SelfHosted,SelfHosted,,1,8,32.0,0,0.0,0.0,0.0,field-eng
integrationRuntime1,oneenv-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Managed,Azure,,0,0,0.0,0,0.0,0.0,0.0,field-eng
integrationRuntime1,pepsi0adf-test-nm001,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,SelfHosted,SelfHosted,,0,0,0.0,0,0.0,0.0,0.0,field-eng
integrationRuntime1,adf-sash-demo,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,SelfHosted,SelfHosted,,0,0,0.0,0,0.0,0.0,0.0,field-eng
VNETIR,jok-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Managed,Azure,,0,0,0.0,0,0.0,0.0,0.0,field-eng
AsoRuntimeIntegration,apj-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Managed,Azure,,0,0,0.0,0,0.0,0.0,0.0,field-eng
integrationRuntime1,adf-demo-snehil,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Managed,Azure,,0,0,0.0,0,0.0,0.0,0.0,field-eng
integrationRuntime2,adf-demo-snehil,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,SelfHosted,SelfHosted,,0,0,0.0,0,0.0,0.0,0.0,field-eng
integrationRuntime3,adf-demo-snehil,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,SelfHosted,SelfHosted,,0,0,0.0,0,0.0,0.0,0.0,field-eng
AutoResolveIntegrationRuntime,dgp-adf,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Managed,Azure,,0,0,0.0,0,0.0,0.0,0.0,field-eng
integrationRuntime1,SAP-HANA-DBRX-ADF,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,SelfHosted,SelfHosted,,0,0,0.0,0,0.0,0.0,0.0,field-eng
managedvnetir,bnelsondatafactory,ADF,3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,Managed,Azure,,0,0,0.0,0,0.0,0.0,0.0,field-eng
peterintegrationruntime,peteradfcuj,ADF,5685e448-8271-4cf2-b2d2-4f030db888b9,SelfHosted,SelfHosted,,1,0,25.3,0,0.0,0.0,0.0,azure-test-pm
