subscription_id,subscription_name,activity_type,count
3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Copy,101
3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,DatabricksNotebook,202
3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,DatabricksSparkJar,1
3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,DatabricksSparkPython,2
3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Delete,3
3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,ExecuteDataFlow,16
3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,ExecutePipeline,22
3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Filter,1
3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,ForEach,27
3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,GetMetadata,4
3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,IfCondition,27
3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Lookup,24
3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,SetVariable,55
3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,SqlServerStoredProcedure,16
3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Switch,2
3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Unknown,31
3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Until,41
3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,Wait,10
3f2e4d32-8e8d-46d6-82bc-5bb8d962328b,field-eng,WebActivity,106
5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,AppendVariable,4
5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,Copy,11
5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,DatabricksNotebook,10
5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,ExecuteDataFlow,1
5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,ExecutePipeline,1
5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,ForEach,6
5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,GetMetadata,1
5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,IfCondition,2
5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,Lookup,2
5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,SetVariable,2
5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,Unknown,1
5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,Until,5
5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,Validation,1
5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,Wait,2
5685e448-8271-4cf2-b2d2-4f030db888b9,azure-test-pm,WebActivity,5
